# lon1 lat1 z1 lon2 lat2 z2 lon3 lat3 z3 slip_m rake_deg time_s
-177.156370 -27.887844 -50000.000000 -177.075091 -27.865881 -45002.840000 -177.126021 -27.802971 -50000.000000 0.000000 0.000000 0.000000
-176.969729 -27.545477 -44185.740000 -177.027285 -27.458018 -49367.770000 -177.053673 -27.543759 -49968.630000 0.000000 0.000000 0.000000
-177.036837 -27.777366 -44553.880000 -177.102845 -27.716319 -50000.000000 -177.126021 -27.802971 -50000.000000 0.000000 0.000000 0.000000
-177.022707 -27.688070 -45168.500000 -177.079624 -27.629679 -50000.000000 -177.102845 -27.716319 -50000.000000 0.000000 0.000000 0.000000
-176.977758 -27.457791 -46199.570000 -177.027285 -27.458018 -49367.770000 -176.969729 -27.545477 -44185.740000 0.000000 0.000000 0.000000
172.199093 -42.664328 -46199.200000 172.199630 -42.587262 -50000.000000 172.097161 -42.635221 -50000.000000 0.000000 0.000000 0.000000
172.403425 -42.569556 -45716.620000 172.402154 -42.488173 -49532.210000 172.300912 -42.537664 -49923.980000 0.000000 0.000000 0.000000
172.598976 -42.449720 -45915.190000 172.582973 -42.368888 -50000.000000 172.492342 -42.428287 -50000.000000 0.000000 0.000000 0.000000
172.774443 -42.324079 -45784.680000 172.756015 -42.243643 -49940.000000 172.667670 -42.304969 -49986.050000 0.000000 0.000000 0.000000
172.101764 -42.780515 -43279.200000 171.994857 -42.750179 -46557.690000 171.993774 -42.817079 -43531.110000 0.000000 0.000000 0.000000
172.198703 -42.814221 -40692.470000 172.101764 -42.780515 -43279.200000 172.093634 -42.860139 -40376.930000 0.000000 0.000000 0.000000
173.948878 -41.297244 -45537.160000 173.920038 -41.219283 -49580.030000 173.842553 -41.287046 -49964.120000 0.000000 0.000000 0.000000
172.303162 -42.851286 -37939.630000 172.198703 -42.814221 -40692.470000 172.199647 -42.899309 -37929.390000 0.000000 0.000000 0.000000
173.022186 -42.118982 -45590.240000 172.994116 -42.041185 -50000.000000 172.914704 -42.108685 -49984.460000 0.000000 0.000000 0.000000
172.408686 -42.889953 -35232.880000 172.303162 -42.851286 -37939.630000 172.305723 -42.938354 -35443.200000 0.000000 0.000000 0.000000
173.788262 -41.432561 -45543.640000 173.763817 -41.354477 -50000.000000 173.682629 -41.420364 -49953.210000 0.000000 0.000000 0.000000
173.246967 -41.907044 -45507.330000 173.217034 -41.830033 -50000.000000 173.140630 -41.899252 -50000.000000 0.000000 0.000000 0.000000
175.476409 -39.965356 -46430.930000 175.448510 -39.884260 -50000.000000 175.369041 -39.950080 -50000.000000 0.000000 0.000000 0.000000
173.399245 -41.766783 -45544.260000 173.367696 -41.690094 -50000.000000 173.292597 -41.760070 -50000.000000 0.000000 0.000000 0.000000
172.618997 -42.966139 -29456.370000 172.513930 -42.928054 -32251.260000 172.517031 -43.015714 -30067.290000 0.000000 0.000000 0.000000
175.554798 -39.896082 -46175.520000 175.524954 -39.816778 -50000.000000 175.448510 -39.884260 -50000.000000 0.000000 0.000000 0.000000
175.230874 -40.165288 -46855.440000 175.210661 -40.081825 -49911.680000 175.124590 -40.141704 -49898.470000 0.000000 0.000000 0.000000
175.630230 -39.827472 -46032.750000 175.600478 -39.748905 -50000.000000 175.524954 -39.816778 -50000.000000 0.000000 0.000000 0.000000
172.862902 -42.258627 -45599.550000 172.839572 -42.178990 -49748.770000 172.756015 -42.243643 -49940.000000 0.000000 0.000000 0.000000
176.678616 -38.876888 -44561.050000 176.658928 -38.800177 -49496.390000 176.580351 -38.865579 -49632.040000 0.000000 0.000000 0.000000
175.396305 -40.030928 -46429.630000 175.369041 -39.950080 -50000.000000 175.289527 -40.015576 -50000.000000 0.000000 0.000000 0.000000
173.057849 -43.211018 -21136.760000 173.069511 -43.127644 -21157.530000 172.947663 -43.171525 -21857.450000 0.000000 0.000000 0.000000
176.756332 -38.810665 -44315.540000 176.737382 -38.734701 -49388.890000 176.658928 -38.800177 -49496.390000 0.000000 0.000000 0.000000
176.600437 -38.942238 -44691.550000 176.580351 -38.865579 -49632.040000 176.501631 -38.930934 -49677.600000 0.000000 0.000000 0.000000
173.708212 -41.498403 -45528.570000 173.682629 -41.420364 -49953.210000 173.602386 -41.486963 -49968.230000 0.000000 0.000000 0.000000
176.835969 -38.744716 -44383.420000 176.815716 -38.669159 -49519.660000 176.737382 -38.734701 -49388.890000 0.000000 0.000000 0.000000
175.994257 -39.478291 -45457.380000 175.966319 -39.401014 -50000.000000 175.891275 -39.469522 -50000.000000 0.000000 0.000000 0.000000
175.136870 -40.227473 -47061.100000 175.124590 -40.141704 -49898.470000 175.031975 -40.196770 -50000.000000 0.000000 0.000000 0.000000
174.089879 -41.141433 -45754.010000 174.046220 -41.067153 -50000.000000 173.981894 -41.142656 -49903.510000 0.000000 0.000000 0.000000
172.944066 -43.082609 -22534.120000 172.838455 -43.132243 -23282.480000 172.947663 -43.171525 -21857.450000 0.000000 0.000000 0.000000
173.223319 -43.133220 -19983.670000 173.180871 -43.210970 -20924.250000 173.303684 -43.210710 -20293.200000 0.000000 0.000000 0.000000
173.348968 -43.114455 -18875.260000 173.303684 -43.210710 -20293.200000 173.413208 -43.182596 -19069.320000 0.000000 0.000000 0.000000
175.045284 -40.282260 -47168.700000 175.031975 -40.196770 -50000.000000 174.939853 -40.252105 -50000.000000 0.000000 0.000000 0.000000
176.142421 -39.342229 -45192.190000 176.118668 -39.265894 -50000.000000 176.041925 -39.332975 -50000.000000 0.000000 0.000000 0.000000
173.525611 -42.888653 -17559.990000 173.435667 -42.950554 -18038.560000 173.556133 -42.970798 -17275.590000 0.000000 0.000000 0.000000
173.730562 -42.840323 -16461.540000 173.644093 -42.907139 -16828.150000 173.762145 -42.930791 -16289.300000 0.000000 0.000000 0.000000
176.521289 -39.007413 -44666.670000 176.501631 -38.930934 -49677.600000 176.422699 -38.996298 -49706.730000 0.000000 0.000000 0.000000
173.935296 -42.803650 -15691.810000 173.819074 -42.777434 -16155.250000 173.848810 -42.867262 -15958.940000 0.000000 0.000000 0.000000
175.919669 -39.546968 -45524.520000 175.891275 -39.469522 -50000.000000 175.816479 -39.538247 -50000.000000 0.000000 0.000000 0.000000
173.101733 -42.047427 -45628.790000 173.068420 -41.970904 -50000.000000 172.994116 -42.041185 -50000.000000 0.000000 0.000000 0.000000
173.990059 -42.653033 -15708.920000 173.905804 -42.713455 -15923.420000 174.021630 -42.739965 -15475.370000 0.000000 0.000000 0.000000
174.076119 -42.589317 -15490.130000 173.990059 -42.653033 -15708.920000 174.107787 -42.676225 -15245.620000 0.000000 0.000000 0.000000
174.945832 -40.338423 -47364.190000 174.939853 -40.252105 -50000.000000 174.843255 -40.302790 -50000.000000 0.000000 0.000000 0.000000
174.162051 -42.525520 -15255.200000 174.076119 -42.589317 -15490.130000 174.193768 -42.612413 -15038.450000 0.000000 0.000000 0.000000
174.247810 -42.461686 -14985.590000 174.162051 -42.525520 -15255.200000 174.279549 -42.548556 -14729.150000 0.000000 0.000000 0.000000
174.247810 -42.461686 -14985.590000 174.130485 -42.438597 -15556.640000 174.162051 -42.525520 -15255.200000 0.000000 0.000000 0.000000
174.422221 -42.331934 -14154.230000 174.333406 -42.397781 -14637.850000 174.450517 -42.420719 -13888.420000 0.000000 0.000000 0.000000
174.679742 -40.495875 -47231.420000 174.656901 -40.411552 -50000.000000 174.570873 -40.472543 -49928.270000 0.000000 0.000000 0.000000
174.850544 -40.389146 -47399.970000 174.843255 -40.302790 -50000.000000 174.747263 -40.354269 -50000.000000 0.000000 0.000000 0.000000
